casing_id,name,supplier,od_in,wall_in,id_in,area_in2,weight_lbft,fy_ksi,I_in4,S_in3,r_in,internal_area_in2,source
NO_CASING,No casing,None,0,0,0,0,0,0,0,0,0,0,User selected no casing
NUCOR_PIPE_2p375x0p109,Nucor A252 Pipe 2 3/8 in OD x 0.109 in wall,Nucor Skyline,2.375,0.109,2.16,0.78,2.64,65.0,0.5,0.42,1.8,3.65,Nucor steel pipe data sheet
NUCOR_PIPE_2p375x0p154,Nucor A252 Pipe 2 3/8 in OD x 0.154 in wall,Nucor Skyline,2.375,0.154,2.07,1.08,3.66,65.0,0.67,0.56,1.78,3.36,Nucor steel pipe data sheet
NUCOR_PIPE_2p375x0p188,Nucor A252 Pipe 2 3/8 in OD x 0.188 in wall,Nucor Skyline,2.375,0.188,2.0,1.29,4.4,65.0,0.78,0.66,1.76,3.14,Nucor steel pipe data sheet
NUCOR_PIPE_2p375x0p218,Nucor A252 Pipe 2 3/8 in OD x 0.218 in wall,Nucor Skyline,2.375,0.218,1.94,1.48,5.03,65.0,0.87,0.73,1.75,2.95,Nucor steel pipe data sheet
NUCOR_PIPE_2p875x0p120,Nucor A252 Pipe 2 7/8 in OD x 0.120 in wall,Nucor Skyline,2.875,0.12,2.64,1.04,3.53,60.0,0.99,0.69,1.84,5.45,Nucor steel pipe data sheet
NUCOR_PIPE_2p875x0p188,Nucor A252 Pipe 2 7/8 in OD x 0.188 in wall,Nucor Skyline,2.875,0.188,2.5,1.59,5.4,60.0,1.44,1.0,1.81,4.91,Nucor steel pipe data sheet
NUCOR_PIPE_2p875x0p203,Nucor A252 Pipe 2 7/8 in OD x 0.203 in wall,Nucor Skyline,2.875,0.203,2.47,1.7,5.8,65.0,1.53,1.06,1.8,4.79,Nucor steel pipe data sheet
NUCOR_PIPE_2p875x0p219,Nucor A252 Pipe 2 7/8 in OD x 0.219 in wall,Nucor Skyline,2.875,0.219,2.44,1.83,6.22,65.0,1.62,1.13,1.79,4.66,Nucor steel pipe data sheet
NUCOR_PIPE_2p875x0p276,Nucor A252 Pipe 2 7/8 in OD x 0.276 in wall,Nucor Skyline,2.875,0.276,2.32,2.25,7.67,70.0,1.92,1.34,1.77,4.24,Nucor steel pipe data sheet
